<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gold.Coin.140012,20210214,1195009.00,1199101.00,1190000.00,1192814.00,132640954700,111200,304,D,1199068.00,1196000.00
Gold.Coin.140012,20210213,1192000.00,1207999.00,1190000.00,1199068.00,158276934000,132000,454,D,1165205.00,1200000.00
Gold.Coin.140012,20210209,1160010.00,1169800.00,1160000.00,1165205.00,139125517700,119400,370,D,1135973.00,1160000.00
Gold.Coin.140012,20210208,1132000.00,1141000.00,1131111.00,1135973.00,94853736100,83500,279,D,1089827.00,1140000.00
Gold.Coin.140012,20210207,1088000.00,1096968.00,1083555.00,1089827.00,85115464100,78100,289,D,1080318.00,1096968.00
Gold.Coin.140012,20210206,1075000.00,1088800.00,1075000.00,1080318.00,73245553500,67800,225,D,1078039.00,1085000.00
Gold.Coin.140012,20210203,1078000.00,1089998.00,1073334.00,1078039.00,43768401500,40600,162,D,1095252.00,1083000.00
Gold.Coin.140012,20210202,1098860.00,1099000.00,1090009.00,1095252.00,90358321600,82500,191,D,1092647.00,1094203.00
Gold.Coin.140012,20210201,1085001.00,1100000.00,1085001.00,1092647.00,137782787900,126100,392,D,1097891.00,1095000.00
Gold.Coin.140012,20210131,1088881.00,1108761.00,1088881.00,1097891.00,139541898900,127100,313,D,1084818.00,1107000.00
Gold.Coin.140012,20210130,1085706.00,1090000.00,1080013.00,1084818.00,188107527000,173400,451,D,1050549.00,1086000.00
Gold.Coin.140012,20210127,1058000.00,1060000.00,1040000.00,1050549.00,267154542100,254300,522,D,1023624.00,1046000.00
Gold.Coin.140012,20210126,1039000.00,1039888.00,1012500.00,1023624.00,248024219900,242300,537,D,1060947.00,1020555.00
Gold.Coin.140012,20210125,1059998.00,1066000.00,1054999.00,1060947.00,144607054000,136300,319,D,1061522.00,1062500.00
Gold.Coin.140012,20210124,1050000.00,1069500.00,1050000.00,1061522.00,220796583800,208000,520,D,1025236.00,1068000.00
Gold.Coin.140012,20210123,1028000.00,1031900.00,1020010.00,1025236.00,214171836400,208900,435,D,1039860.00,1029950.00
Gold.Coin.140012,20210120,1048999.00,1048999.00,1034000.00,1039860.00,152235512600,146400,472,D,1016231.00,1034000.00
Gold.Coin.140012,20210119,1007555.00,1025331.00,1000000.00,1016231.00,211477586300,208100,531,D,976329.00,1024999.00
Gold.Coin.140012,20210118,985555.00,1000000.00,973452.00,976329.00,185209708900,189700,567,D,1024577.00,975671.00
Gold.Coin.140012,20210116,1024576.00,1025000.00,1024576.00,1024577.00,50819018300,49600,159,D,1078420.00,1024576.00
Gold.Coin.140012,20210113,1085555.00,1090000.00,1069002.00,1078420.00,182253005500,169000,433,D,1115013.00,1079999.00
Gold.Coin.140012,20210112,1110001.00,1117300.00,1109370.00,1115013.00,66900757300,60000,180,D,1105871.00,1115000.00
Gold.Coin.140012,20210111,1113500.00,1114497.00,1100000.00,1105871.00,141993831300,128400,346,D,1112328.00,1100010.00
Gold.Coin.140012,20210110,1115000.00,1125000.00,1102310.00,1112328.00,120465172800,108300,342,D,1144917.00,1117777.00
Gold.Coin.140012,20210109,1144917.00,1144917.00,1144917.00,1144917.00,15685362900,13700,38,D,1206247.00,1144917.00
